"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-01",,,,,,,"5.8",",,0,1800","51.0",",,0,","1041.0",",,0,1800",,,"-0.6",",,0","-10.0",",,0","-3.3",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-02",,,,,,,"5.8",",,0,1800","64.0",",,0,","1016.0",",,0,1800",,,"-0.6",",,0","-10.6",",,0","-8.3",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-03",,,,,,,"0.0",",,0,1800","0.0",",,0,","965.0",",,0,1800",,,"-0.6",",,0","-11.7",",,0","-8.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-04",,,,,,,"0.0",",,0,1800","0.0",",,0,","940.0",",,0,1800",,,"1.7",",,0","-10.0",",,0","-2.8",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-06",,,"30.2",",,0","178.0",",,0",,,,,"1041.0",",,0,1800",,,"-1.1",",,0","-3.9",",,0","-3.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-07",,,,,,,"4.3",",,0,1800","25.0",",,0,","1067.0",",,0,1800",,,"-3.9",",,0","-13.9",",,0","-11.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-08",,,,,,,"0.0",",,0,1800","0.0","P,,0,","1041.0",",,0,1800",,,"1.7",",,0","-12.2",",,0","-5.0",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-09",,,,,,,"0.0","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-10",,,,,,,"0.0","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-11",,,,,,,"0.0",",,0,1800","0.0",",,0,","965.0",",,0,1800",,,"8.3",",,0","-6.7",",,0","0.6",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-12",,,,,,,"0.0",",,0,1800","0.0",",,0,","940.0",",,0,1800",,,"5.6",",,0","-1.7",",,0","1.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-13",,,,,,,"0.0",",,0,1800","0.0",",,0,","940.0",",,0,1800",,,"3.3",",,0","-5.0",",,0","-2.2",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-14",,,,,,,"0.3",",,0,1800","0.0",",,0,","914.0",",,0,1800",,,"-1.1",",,0","-6.7",",,0","-6.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-15",,,,,,,"0.0",",,0,1800","0.0",",,0,","914.0",",,0,1800",,,"3.9",",,0","-10.6",",,0","-1.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-16",,,,,,,"0.0",",,0,1800","0.0",",,0,","914.0",",,0,1800",,,"6.7",",,0","-3.3",",,0","0.0",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-17",,,,,,,"0.0",",,0,1800","0.0",",,0,","889.0",",,0,1800",,,"6.1",",,0","-5.0",",,0","-1.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-18",,,,,,,"2.3",",,0,1800","102.0",",,0,","965.0",",,0,1800",,,"0.0",",,0","-5.6",",,0","-2.8",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-19",,,,,,,"25.7",",,0,1800","254.0",",,0,","1194.0",",,0,1800",,,"-2.8",",,0","-7.8",",,0","-5.6",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-20",,,,,,,"3.6",",,0,1800","51.0",",,0,","1168.0",",,0,1800",,,"-2.2",",,0","-7.2",",,0","-6.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-21",,,,,,,"25.9",",,0,1800","406.0",",,0,","1372.0",",,0,1800",,,"-3.3",",,0","-7.8",",,0","-5.6",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-22",,,,,,,"26.7",",,0,1800","229.0",",,0,","1499.0",",,0,1800",,,"-3.3",",,0","-7.2",",,0","-7.2",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-24",,,"32.3",",,0","533.0",",,0",,,,,"2159.0",",,0,1800",,,"-7.2",",,0","-11.1",",,0","-9.4",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-25",,,,,,,"0.0",",,0,1800","0.0",",,0,","1981.0",",,0,1800",,,"-2.2",",,0","-15.6",",,0","-6.7",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-26",,,,,,,"0.0","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-27",,,,,,,"0.0","T,,0,1800","25.0",",,0,","1829.0",",,0,1800",,,"-2.2",",,0","-10.6",",,0","-5.6",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-28",,,,,,,"0.0",",,0,1800","0.0",",,0,","1676.0",",,0,1800",,,"-1.1",",,0","-9.4",",,0","-7.2",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-29",,,,,,,"0.0",",,0,1800","0.0",",,0,","1651.0",",,0,1800",,,"-0.6",",,0","-11.7",",,0","-7.8",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-30",,,,,,,"0.0",",,0,1800","0.0",",,0,","1600.0",",,0,1800",,,"1.1",",,0","-8.9",",,0","-3.3",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-01-31",,,,,,,"8.1",",,0,1800","102.0",",,0,","1753.0",",,0,1800",,,"-3.3",",,0","-7.2",",,0","-7.2",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-01",,,,,,,"5.1",",,0,1800","76.0",",,0,","1727.0",",,0,1800",,,"-3.3",",,0","-10.6",",,0","-10.0",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-02",,,,,,,"0.0",",,0,1800","0.0",",,0,","1651.0",",,0,1800",,,"1.7",",,0","-11.7",",,0","-3.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-03",,,,,,,"0.0",",,0,1800","0.0",",,0,","1651.0",",,0,1800",,,"2.2",",,0","-7.2",",,0","-4.4",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-04",,,,,,,"2.5",",,0,1800","51.0",",,0,","1626.0",",,0,1800",,,"-2.2",",,0","-7.2",",,0","-5.6",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-05",,,,,,,"0.3",",,0,1800","0.0","T,,0,","1600.0",",,0,1800",,,"-2.2",",,0","-8.9",",,0","-3.3",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-06",,,,,,,"11.9",",,0,1800","38.0",",,0,","1651.0",",,0,1800",,,"1.7",",,0","-5.0",",,0","-3.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-07",,,,,,,"0.0","P,,0,1800","0.0","P,,0,",,,,,,,,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-08",,,,,,,"0.0",",,0,1800","0.0",",,0,","1549.0",",,0,1800",,,"-1.1",",,0","-13.9",",,0","-8.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-09",,,,,,,"0.0",",,0,1800","0.0",",,0,","1524.0",",,0,1800",,,"-4.4",",,0","-14.4",",,0","-10.0",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-11",,,"11.2",",,0","127.0",",,0",,,,,"1702.0",",,0,1800",,,"-4.4",",,0","-12.8",",,0","-7.8",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-12",,,,,,,"4.6",",,0,1800","51.0",",,0,","1727.0",",,0,1800",,,"-3.3",",,0","-8.9",",,0","-6.1",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-14",,,"8.1",",,0","51.0",",,0",,,,,"1803.0",",,0,1800",,,"-2.2",",,0","-6.7",",,0","-3.3",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-15",,,,,,,"18.8",",,0,1800","152.0",",,0,","1905.0",",,0,1800",,,"-2.8",",,0","-7.8",",,0","-3.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-16",,,,,,,"0.0",",,0,1800","0.0",",,0,","0.0",",G,0,1800",,,"-1.1",",,0","-10.0",",,0","-3.9",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-17",,,,,,,"0.0",",,0,1800","0.0",",,0,","1854.0",",,0,1800",,,"-2.8",",,0","-8.3",",,0","-5.0",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-18",,,,,,,"3.6",",,0,1800","76.0",",,0,","1930.0",",,0,1800",,,"-3.9",",,0","-6.7",",,0","-6.1",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-19",,,,,,,"2.3",",,0,1800","51.0",",,0,","1981.0",",,0,1800",,,"-5.6",",,0","-12.8",",,0","-7.2",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-20",,,,,,,"0.8",",,0,1800","25.0",",,0,","1930.0",",,0,1800",,,"-6.7",",,0","-13.9",",,0","-10.6",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-21",,,,,,,"2.8",",,0,1800","51.0",",,0,","1981.0",",,0,1800",,,"-8.9",",,0","-13.9",",,0","-11.1",",,0,1800",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-02-22",,,,,,,"0.0","T,,0,1800","0.0","T,,0,","1981.0",",,0,1800",,,"-9.4",",,0","-17.8",",,0","-12.2",",,0,1800",,
