"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2010-12",,,"0.0","2,0",,,,,"30","1,0","14","4,0","1","2,0","28","2,0","10","1,0","0","1,0","0","1,0","-21.1","2,0,31,","2515","1,,0,30,","483.0","4,,0,20,",,,"8.3","1,0,13,",,,"632.8","1,0",,,"2464","4,a,,0","-3.4","2,0","0.9","1,,,0","-7.7","2,,,0"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-01","0.0","7","0.0",",K","9",",K","8",",K","29","2,K","8",",K","4",",K","31",",K","22",",K","0",",K","0",",K","-25.0",",K,01,","2438","2,,K,31,","330.0",",,K,19,","32.5",",,K,16,","7.8",",K,28,",,,"753.6",",K","128.5",",,,K","1045",",,,K","-6.0",",K","-1.2",",,,K","-10.7",",,,K"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-02","0.0","7","0.0","1,K","11","2,K","9","2,K","25","3,K","10","3,K","6","1,K","27","1,K","21","1,K","0","1,K","0","1,K","-26.7","1,K,02,","3429","3,,K,26,","559.0","3,,K,20,","47.8","2,,K,20,","6.1","1,K,14,+",,,"707.0","1,K","202.4","2,,,K","2480","3,,,K","-7.9","1,K","-2.9","1,,,K","-12.8","1,,,K"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-03","0.0","7","0.0","1,7",,,,,"30","1,7","17","1,7","1","1,7","30","1,7","16","1,7","0","1,7","0","1,7","-18.9","1,7,04,","3531","1,,7,28,","330.0","1,,7,07,",,,"7.8","1,7,13,",,,"675.2","1,7",,,"2159","1,,,7","-4.2","1,7","0.9","1,,,7","-9.3","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-04","0.0","7","0.0","1,7","16","2,7","15","2,7","29","1,7","14","2,7","0","1,7","27","1,7","9","1,7","0","1,7","0","1,7","-17.2","1,7,09,","4267","1,,7,09,","432.0","2,,7,03,","41.1","2,,7,03,","10.0","1,7,03,+",,,"598.9","1,7","361.9","2,,,7","2577","2,,,7","-2.3","1,7","3.0","1,,,7","-7.6","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-05","0.0","7","0.0","3,7","11","2,7","10","2,7",,,"6","4,7","0","3,7","22","3,7","1","2,7","0","2,7","0","2,7","-11.1","3,7,01,",,,"254.0","4,,7,30,","47.0","2,,7,20,","16.7","2,7,14,+",,,"435.8","2,7","195.6","2,,,7","889","4,,,7","2.8","3,7","8.2","2,,,7","-2.7","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-06","0.0","7","0.0","4,7","5","3,7","4","3,7",,,,,"0","4,7","11","4,7","0","3,7","2","3,7","0","3,7","-5.6","4,7,03,",,,,,"63.5","3,,7,19,","22.8","3,7,29,",,,"255.9","3,7","104.4","3,,,7",,,"8.3","4,7","14.9","3,,,7","1.8","4,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-08",,,"5.0","3,7","6","2,7","4","2,7",,,,,"0","3,7","0","3,7","0","3,7","26","3,7","0","3,7","1.7","3,7,18,",,,,,"58.4","2,,7,15,","26.7","3,7,24,",,,"54.9","3,7","134.3","2,,,7",,,"16.6","3,7","23.0","3,,,7","10.1","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-09",,,"0.0","5,7","5","5,7","4","5,7",,,,,"0","5,7","0","5,7","0","5,7","4","5,7","0","5,7","1.7","5,7,19,",,,,,"14.5","5,,7,17,","21.7","5,7,30,",,,"173.0","5,7","29.5","5,,,7",,,"11.4","5,7","17.6","5,,,7","5.2","5,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-10",,,"0.0","3,7","9","2,7","7","2,7",,,"4","4,7","0","3,7","14","3,7","2","2,7","0","2,7","0","2,7","-7.2","3,7,29,+",,,"305.0","4,,7,06,","27.9","2,,7,06,","18.9","2,7,01,",,,"370.7","2,7","98.5","2,,,7","496","4,,,7","4.9","3,7","9.9","2,,,7","-0.1","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-11",,,"0.0","3,7","9","3,7","6","3,7",,,,,"0","3,7","27","3,7","11","3,7","0","3,7","0","3,7","-12.8","3,7,26,+",,,,,"32.3","3,,7,13,","10.0","3,7,27,+",,,"555.7","3,7","111.7","3,,,7",,,"-2.2","3,7","2.6","3,,,7","-7.1","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2011-12",,,"0.0","2,7","6","2,7","6","2,7","27","4,7","5","3,7","2","2,7","29","2,7","13","2,7","0","2,7","0","2,7","-19.4","2,7,05,","660","4,,7,22,","89.0","3,,7,14,","9.1","2,,7,29,","7.8","2,7,18,",,,"663.6","2,7","31.4","2,,,7","292","3,,,7","-4.6","2,7","0.4","2,,,7","-9.5","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-01","0.0","7","0.0",",7","11","1,7","11","1,7","29","2,7","12","1,7","1",",7","31",",7","18",",7","0",",7","0",",7","-21.1",",7,17,","1676","2,,7,27,","356.0","1,,7,21,","52.6","1,,7,19,","10.6",",7,02,",,,"701.7",",7","214.3","1,,,7","1398","1,,,7","-4.3",",7","0.7",",,,7","-9.3",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-02","0.0","7","0.0","1,7","13","1,7","12","1,7","25","4,7","13","2,7","0","1,7","28","1,7","19","1,7","0","1,7","0","1,7","-16.7","1,7,20,","2210","4,,7,29,","254.0","2,,7,28,","32.3","1,,7,23,","3.9","1,7,12,+",,,"681.2","1,7","140.0","1,,,7","1268","2,,,7","-6.0","1,7","-1.4","1,,,7","-10.6","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-03","0.0","7","0.0","2,7","8","2,7","7","2,7","27","4,7","7","3,7","0","2,7","22","2,7","7","2,7","0","2,7","0","2,7","-14.4","2,7,20,","2667","4,,7,02,","457.0","3,,7,18,","40.6","2,,7,18,","13.3","2,7,31,",,,"530.7","2,7","130.7","2,,,7","1384","3,,,7","0.0","2,7","5.1","2,,,7","-5.0","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-04","0.0","7","0.0","4,7","11","4,7","7","4,7",,,,,"0","4,7","16","4,7","1","4,7","0","4,7","0","4,7","-13.3","4,7,07,",,,,,"41.9","4,,7,06,","19.4","4,7,24,+",,,"385.3","4,7","123.8","4,,,7",,,"3.5","4,7","9.1","4,,,7","-2.1","4,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-05","0.0","7","0.0","5,7","8","5,7","6","5,7",,,,,"0","5,7","16","5,7","0","5,7","2","5,7","0","5,7","-5.6","5,7,08,+",,,,,"23.9","5,,7,06,","21.7","5,7,21,",,,"302.8","5,7","71.3","5,,,7",,,"6.7","5,7","13.2","5,,,7","0.1","5,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-06","2.4","7","2.4","3,7","0","3,7","0","3,7",,,,,"0","3,7","5","3,7","0","3,7","16","3,7","0","3,7","-4.4","3,7,06,",,,,,"0.0","3,T,7,06,","24.4","3,7,30,+",,,"134.3","3,7","0.0","3,T,,7",,,"13.4","3,7","20.6","3,,,7","6.3","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-07","11.1","7","8.7","1,7","11",",7","7",",7",,,,,"0","1,7","0","1,7","0","1,7","21","1,7","0","1,7","6.1","1,7,06,",,,,,"45.7",",,7,07,","26.7","1,7,12,+","57.7","7","57.7","1,7","111.0",",,,7",,,"16.7","1,7","22.6","1,,,7","10.8","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-08","15.0","7","3.9",",7","6",",7","4",",7",,,,,"0",",7","0",",7","0",",7","29",",7","0",",7","8.3",",7,21,+",,,,,"23.6",",,7,11,","28.3",",7,08,","100.5","7","42.8",",7","40.2",",,,7",,,"17.1",",7","23.4",",,,7","10.7",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-09","15.0","7","0.0","2,7","9","2,7","3","2,7",,,,,"0","2,7","0","2,7","0","2,7","5","2,7","0","2,7","2.2","2,7,25,+",,,,,"20.6","2,,7,25,","22.2","2,7,09,","278.2","7","177.7","2,7","42.3","2,,,7",,,"12.0","2,7","18.1","2,,,7","5.9","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-10","15.0","7","0.0","2,7","10","2,7","6","2,7",,,,,"0","2,7","13","2,7","3","1,7","0","1,7","0","1,7","-13.9","2,7,26,",,,,,"14.5","2,,7,25,","17.8","1,7,02,","674.0","7","395.8","1,7","51.1","2,,,7",,,"4.8","2,7","10.3","1,,,7","-0.7","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-11","15.0","7","0.0","1,7","5","1,7","5","1,7",,,,,"0","1,7","25","1,7","4","1,7","0","1,7","0","1,7","-16.1","1,7,12,",,,,,"43.2","1,,7,09,","13.3","1,7,07,","1177.7","7","503.7","1,7","133.1","1,,,7",,,"1.0","1,7","5.5","1,,,7","-3.6","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2012-12","15.0","7","0.0","1,7","19","1,7","16","1,7","28","3,7","16","2,7","3","1,7","30","1,7","21","1,7","0","1,7","0","1,7","-20.0","1,7,19,","1829","3,,7,27,","356.0","2,,7,24,","30.0","1,,7,24,","6.7","1,7,02,","1924.2","7","746.5","1,7","223.5","1,,,7","2426","2,,,7","-6.6","1,7","-2.5","1,,,7","-10.6","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-01","0.0","7","0.0","2,7","9","2,7","8","2,7","26","5,7","7","3,7","5","2,7","29","2,7","15","2,7","0","2,7","0","2,7","-26.7","2,7,14,","1930","5,,7,29,","406.0","3,,7,29,","17.3","2,,7,29,","10.0","2,7,22,","2652.2","7","728.0","2,7","89.5","2,,,7","1045","3,,,7","-6.8","2,7","-2.1","2,,,7","-11.5","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-02","0.0","7","0.0","2,7","12","2,7","9","2,7","26","2,7","11","2,7","2","2,7","26","2,7","18","2,7","0","2,7","0","2,7","-18.9","2,7,27,+","2261","2,,7,26,","457.0","2,,7,23,","27.9","2,,7,23,","6.1","2,7,16,+","3320.0","7","667.8","2,7","86.0","2,,,7","1497","2,,,7","-7.4","2,7","-2.6","2,,,7","-12.1","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-03","0.0","7","0.0","4,7","10","3,7","6","3,7",,,,,"1","4,7","25","4,7","7","3,7","0","3,7","0","3,7","-17.8","4,7,24,",,,,,"29.2","3,,7,21,","11.7","3,7,31,","3864.8","7","544.8","3,7","96.1","3,,,7",,,"-1.9","4,7","2.9","3,,,7","-6.6","4,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-04","0.0","7","0.0","2,7","13","3,7","12","3,7","28","2,7","13","2,7","0","2,7","25","2,7","8","2,7","0","2,7","0","2,7","-13.3","2,7,18,","2311","2,,7,13,","254.0","2,,7,20,","34.5","3,,7,11,","12.2","2,7,28,","4388.3","7","523.5","2,7","141.3","3,,,7","1321","2,,,7","-0.4","2,7","4.4","2,,,7","-5.1","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-05",,,,,"11","5,7","9","5,7",,,,,,,,,"0","5,7","0","5,7","0","5,7",,,,,,,"30.0","5,,7,19,","20.0","5,7,14,+",,,,,"100.2","5,,,7",,,,,"11.8","5,,,7",,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-06",,,"3.9","2,7","1","2,7","1","2,7",,,,,"0","2,7","2","2,7","0","2,7","12","2,7","0","2,7","-0.6","2,7,20,+",,,,,"6.4","2,,7,25,","27.2","2,7,29,",,,"136.3","2,7","6.4","2,,,7",,,"13.6","2,7","20.4","2,,,7","6.8","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-07",,,"4.8",",7","11",",7","10",",7",,,,,"0",",7","0",",7","0",",7","27",",7","0",",7","7.8",",7,29,+",,,,,"45.7",",,7,05,","26.7",",7,01,","45.3","7","45.3",",7","132.1",",,,7",,,"17.0",",7","23.3",",,,7","10.8",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-08",,,"0.3",",7","16",",7","7",",7",,,,,"0",",7","0",",7","0",",7","21",",7","0",",7","6.1",",7,24,",,,,,"49.8",",,7,22,","25.0",",7,17,+","129.3","7","84.0",",7","100.9",",,,7",,,"15.6",",7","21.6",",,,7","9.7",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-09",,,"0.0","3,7","13","3,7","10","3,7",,,,,"0","3,7","6","3,7","1","3,7","4","3,7","0","3,7","-6.1","3,7,28,",,,,,"44.5","3,,7,08,","25.6","3,7,07,","343.7","7","214.4","3,7","141.3","3,,,7",,,"10.4","3,7","15.5","3,,,7","5.3","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-10",,,"0.0","2,7","11","2,7","9","2,7",,,,,"0","2,7","20","2,7","4","2,7","0","2,7","0","2,7","-8.9","2,7,16,",,,,,"29.2","2,,7,29,","16.7","2,7,08,+","792.9","7","449.2","2,7","128.4","2,,,7",,,"2.8","2,7","7.8","2,,,7","-2.1","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-11",,,"0.0","2,7","9","2,7","7","2,7",,,"8","4,7","0","2,7","27","2,7","4","2,7","0","2,7","0","2,7","-12.2","2,7,06,+",,,"229.0","4,,7,16,","18.0","2,,7,16,","13.3","2,7,12,","1311.3","7","518.4","2,7","47.9","2,,,7","711","4,,,7","-0.2","2,7","4.7","2,,,7","-5.1","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2013-12",,,"0.0","1,7","14","1,7","10","1,7","29","2,7","12","2,7","6","1,7","30","1,7","18","1,7","0","1,7","0","1,7","-25.0","1,7,06,+","1041","2,,7,23,","279.0","2,,7,03,","33.0","1,,7,03,","6.7","1,7,17,","2090.3","7","779.0","1,7","154.3","1,,,7","1232","2,,,7","-7.6","1,7","-3.3","1,,,7","-12.0","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-01","0.0","7","0.0","1,7","11","1,7","8","1,7","30","1,7","9","1,7","1","1,7","30","1,7","13","1,7","0","1,7","0","1,7","-17.8","1,7,05,","1499","1,,7,13,","254.0","1,,7,30,","24.4","1,,7,09,","6.7","1,7,21,+","2770.2","7","679.9","1,7","135.7","1,,,7","1235","1,,,7","-4.3","1,7","0.5","1,,,7","-9.1","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-02","0.0","7","0.0",",7","18",",7","13",",7","28",",7","14",",7","2",",7","28",",7","17",",7","0",",7","0",",7","-18.9",",7,05,","2134",",,7,28,+","203.0",",,7,09,+","52.8",",,7,08,","6.1",",7,26,+","3425.9","7","655.7",",7","233.1",",,,7","1671",",,,7","-5.1",",7","-1.4",",,,7","-8.7",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-03","0.0","7","0.0","1,7","14","1,7","11","1,7","30","1,7","12","1,7","0","1,7","30","1,7","5","1,7","0","1,7","0","1,7","-15.6","1,7,19,","2362","1,,7,18,","229.0","1,,7,18,","38.1","1,,7,11,","9.4","1,7,09,","4028.5","7","602.6","1,7","189.5","1,,,7","1481","1,,,7","-1.8","1,7","3.2","1,,,7","-6.7","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-04","0.0","7","0.0","2,7","8","3,7","6","3,7","29","1,7","8","1,7","0","2,7","23","2,7","7","1,7","0","1,7","0","1,7","-11.7","2,7,15,+","2515","1,,7,01,","279.0","1,,7,01,","28.7","3,,7,28,","12.8","1,7,21,+","4529.9","7","501.4","1,7","153.8","1,a,,7","1142","1,,,7","0.5","2,7","5.8","1,,,7","-4.8","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-05","0.0","7","0.0","1,7","8",",7","6",",7","29",",7","4",",7","0","1,7","9","1,7","1","1,7","2","1,7","0","1,7","-7.8","1,7,12,","1600",",,7,01,","127.0",",,7,10,","33.0",",,7,10,+","21.1","1,7,28,+","4886.6","7","356.7","1,7","115.5",",,,7","432",",,,7","6.4","1,7","11.8","1,,,7","1.0","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-06","0.0","7","0.0","3,7","6","2,7","3","2,7","2","2,7","2","2,7","0","3,7","3","3,7","0","3,7","4","3,7","0","3,7","-4.4","3,7,18,","229","2,,7,17,","229.0","2,,7,17,","27.9","2,,7,17,","22.8","3,7,25,+","5077.1","7","190.5","3,7","61.4","2,,,7","432","2,,,7","11.3","3,7","17.6","3,,,7","5.0","3,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-07","6.2","7","6.2",",7","8",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","26",",7","0",",7","6.7",",7,01,","0",",,7,31,+","0.0",",,7,31,+","20.3",",,7,30,","27.2",",7,23,","41.2","7","41.2",",7","51.2",",,,7","0",",,,7","17.2",",7","23.2",",,,7","11.2",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-08","6.2","7","0.0","1,7","14","2,7","8","2,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","8","1,7","0","1,7","0.6","1,7,23,","0","1,,7,31,+","0.0","1,,7,31,+","30.5","2,,7,27,","23.9","1,7,18,+","200.0","7","158.8","1,7","107.5","2,,,7","0","1,,,7","13.0","1,7","18.6","1,,,7","7.4","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-09","6.2","7","0.0","1,7","10","1,7","7","1,7","0","1,7","0","1,7","0","1,7","1","1,7","0","1,7","10","1,7","0","1,7","0.0","1,7,29,","0","1,,7,30,+","0.0","1,,7,30,+","42.9","1,,7,27,","23.3","1,7,17,","379.5","7","179.5","1,7","119.8","1,,,7","0","1,,,7","12.1","1,7","17.9","1,,,7","6.4","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-10","6.2","7","0.0",",7","6",",7","2",",7","0",",7","1",",7","0",",7","9",",7","0",",7","1",",7","0",",7","-5.6",",7,28,","0",",,7,31,+","25.0",",,7,01,","4.6",",,7,01,","21.7",",7,20,","730.5","7","351.0",",7","12.0",",,,7","38",",,,7","7.0",",7","12.7",",,,7","1.3",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-11","6.2","7","0.0","1,7","14","1,7","12","1,7","25","5,7","12","1,7","1","1,7","27","1,7","12","1,7","0","1,7","0","1,7","-20.0","1,7,16,","914","5,,7,24,","457.0","1,,7,23,","51.8","1,,7,23,","13.9","1,7,06,","1319.4","7","588.9","1,7","177.4","1,,,7","1586","1,,,7","-2.0","1,7","2.5","1,,,7","-6.5","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2014-12","6.2","7","0.0","1,7","12",",7","12",",7","31",",7","12",",7","3","1,7","29","1,7","17",",7","0",",7","0",",7","-18.9","1,7,30,+","1880",",,7,29,","279.0",",,7,25,","62.2",",,7,22,","10.0",",7,10,","1995.0","7","675.6",",7","236.9",",,,7","1861",",,,7","-4.2","1,7","-0.4",",,,7","-8.0","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-01","0.0","7","0.0","1,7","7","1,7","6","1,7","28","3,7","7","1,7","0","1,7","29","1,7","10","1,7","0","1,7","0","1,7","-15.0","1,7,22,","1829","3,,7,13,+","457.0","1,,7,12,","38.1","1,,7,12,","14.4","1,7,26,","2597.9","7","602.9","1,7","62.2","1,,,7","775","1,,,7","-1.8","1,7","2.6","1,,,7","-6.2","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-02","0.0","7","0.0","4,7","10","3,7","7","3,7","25","3,7","9","3,7","0","4,7","22","4,7","7","4,7","0","4,7","0","4,7","-13.9","4,7,27,","1575","3,,7,28,+","203.0","3,,7,21,","16.0","3,,7,21,","14.4","4,7,14,","3070.4","7","472.5","4,7","66.4","3,,,7","736","3,,,7","-1.4","4,7","3.2","4,,,7","-5.9","4,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-03","0.0","7","0.0","2,7","7","2,7","6","2,7","29","2,7","7","2,7","0","2,7","23","2,7","5","2,7","0","2,7","0","2,7","-14.4","2,7,04,","1981","2,,7,03,","305.0","2,,7,03,","23.4","2,,7,03,","14.4","2,7,15,","3567.4","7","497.0","2,7","67.1","2,,,7","711","2,,,7","1.2","2,7","6.5","2,,,7","-4.1","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-04","0.0","7","0.0",",7","8",",7","8",",7","28","2,7","7",",7","0",",7","26",",7","3",",7","0",",7","0",",7","-12.2",",7,03,","1143","2,,7,16,","635.0",",,7,15,","56.4",",,7,15,","15.0",",7,29,","4060.3","7","492.9",",7","106.7",",,,7","1106",",,,7","1.9",",7","7.2",",,,7","-3.4",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-05","0.0","7","0.0","2,7","22","2,7","19","2,7","5","2,7",,,"0","2,7","11","2,7","0","2,7","1","2,7","0","2,7","-3.9","2,7,16,+","203","2,,7,17,",,,"111.8","2,,7,17,","21.1","2,7,31,","4430.8","7","370.5","2,7","270.4","2,,,7",,,"5.6","2,7","10.0","2,,,7","1.1","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-06","4.2","7","4.2","2,7","8",",7","7",",7","0",",7","0",",7","0","2,7","0","2,7","0","2,7","15","2,7","0","2,7","2.8","2,7,07,","0",",,7,30,+","0.0",",,7,30,+","24.1",",,7,07,","26.7","2,7,28,","4531.4","7","100.6","2,7","76.7",",,,7","0",",,,7","14.9","2,7","21.3","2,,,7","8.5","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-07","6.7","7","2.5","1,7","10",",7","5",",7","0",",7","0",",7","0","1,7","0","1,7","0",",7","14",",7","0",",7","1.7","1,7,28,","0",",,7,31,+","0.0",",,7,31,+","13.0",",,7,09,","26.7",",7,01,","122.7","7","122.7",",7","49.4",",,,7","0",",,,7","14.4","1,7","20.6",",,,7","8.2","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-08","10.0","7","3.3",",7","7",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","21",",7","0",",7","4.4",",7,09,+","0",",,7,31,+","0.0",",,7,31,+","35.1",",,7,03,","26.1",",7,25,+","212.7","7","90.0",",7","66.7",",,,7","0",",,,7","15.5",",7","21.8",",,,7","9.3",",,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-09","10.0","7","0.0","2,7","6","2,7","4","2,7","0",",7","0",",7","0","2,7","4","2,7","0","2,7","11","2,7","0","2,7","-1.7","2,7,18,","0",",,7,30,+","0.0",",,7,30,+","50.8","2,,7,16,","23.3","2,7,25,+","369.4","7","156.7","2,7","84.1","2,,,7","0",",,,7","12.7","2,7","19.1","2,,,7","6.4","2,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-10","10.0","7","0.0","1,7","13","1,7","8","1,7","0",",7","1",",7","0","1,7","10","1,7","0","1,7","1","1,7","0","1,7","-5.6","1,7,30,","0",",,7,31,+","38.0",",,7,29,","13.0","1,,7,02,","21.1","1,7,01,","694.2","7","324.8","1,7","72.0","1,,,7","38",",,,7","7.5","1,7","12.3","1,,,7","2.7","1,,,7"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","2015-11","10.0","7","0.0",",7","14",",7","10",",7","28",",7",,,"0",",7","28",",7","13",",7","0",",7","0",",7","-16.7",",7,29,","559",",,7,25,",,,"20.6",",,7,16,","12.2",",7,02,+","1347.3","7","653.1",",7","93.4",",,,7",,,"-3.4",",7","1.0",",,,7","-7.8",",,,7"
