,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
100,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2010-12,619.1,0,0.0,"1,0",13.0,"2,0",8.0,"2,0",,,5.0,"2,0",0.0,"1,0",20.0,"1,0",4.0,"1,0",0.0,"1,0",0.0,"1,0",-12.2,"1,0,31,",,,127.0,"2,,0,30,+",19.3,"2,,0,20,",13.9,"1,0,14,",1098.1,0,492.8,"1,0",82.2,"2,,,0",483.0,"2,,,0",1.9,"1,0",5.6,"1,,,0",-1.8,"1,,,0"
101,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-01,0.0,K,0.0,",K",,,,,,,,,0.0,",K",28.0,",K",13.0,",K",0.0,",K",0.0,",K",-15.6,",K,01,",,,,,,,10.0,",K,17,",1747.9,K,649.8,",K",,,,,-2.6,",K",1.0,",,,K",-6.2,",,,K"
102,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-02,0.0,K,0.0,",K",,,,,,,,,1.0,",K",25.0,",K",4.0,",K",0.0,",K",0.0,",K",-17.8,",K,02,",,,,,,,15.6,",K,15,",2241.3,K,493.4,",K",,,,,0.7,",K",5.7,",,,K",-4.3,",,,K"
103,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-03,0.0,K,0.0,"3,K",,,,,,,,,0.0,"2,K",17.0,"2,K",0.0,"2,K",0.0,"2,K",0.0,"2,K",-5.6,"2,K,30,+",,,,,,,17.2,"2,K,31,+",2599.7,K,358.4,"2,K",,,,,5.6,"3,K",11.1,"2,,,K",0.2,"2,,,K"
104,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-04,0.0,K,0.0,",K",,,,,,,,,0.0,",K",15.0,",K",0.0,",K",1.0,",K",0.0,",K",-7.8,",K,03,",,,,,,,22.2,",K,02,",2935.8,K,336.1,",K",,,,,7.1,",K",13.1,",,,K",1.2,",,,K"
105,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-05,0.0,K,0.0,"1,K",,,,,,,,,0.0,"1,K",1.0,"1,K",0.0,",K",11.0,",K",0.0,",K",-1.1,"1,K,30,",,,,,,,25.0,",K,17,+",3130.8,K,195.0,",K",,,,,11.8,"1,K",17.7,",,,K",5.9,"1,,,K"
106,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-06,55.2,K,55.2,"1,K",,,,,,,,,0.0,",K",0.0,",K",0.0,"1,K",26.0,"1,K",2.0,"1,K",0.6,",K,10,",,,,,,,32.8,"1,K,28,",3173.9,K,43.1,"1,K",,,,,18.9,"1,K",26.1,"1,,,K",11.7,",,,K"
107,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-07,248.9,K,193.7,"2,K",,,,,,,,,0.0,"2,K",0.0,"2,K",0.0,",K",31.0,",K",14.0,",K",12.8,"2,K,20,",,,,,,,35.6,",K,03,",0.0,K,0.0,",K",,,,,25.0,"2,K",31.4,",,,K",18.6,"2,,,K"
108,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-08,470.3,K,221.4,"2,K",,,,,,,,,0.0,",K",0.0,",K",0.0,"2,K",29.0,"2,K",18.0,"2,K",13.9,",K,16,",,,,,,,35.6,"2,K,24,",0.0,K,0.0,"2,K",,,,,26.0,"2,K",32.3,"2,,,K",19.8,",,,K"
109,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2011-09,553.6,K,83.3,",K",4.0,"5,K",1.0,"5,K",,,,,0.0,",K",0.0,",K",0.0,",K",29.0,",K",1.0,",K",10.6,",K,17,",,,,,9.9,"5,,K,17,",32.8,",K,01,",3.6,K,3.6,",K",11.2,"5,,,K",,,21.0,",K",26.7,",,,K",15.3,",,,K"
